Date,Open,High,Low,Close,Volume,daily_return,log_return,volatility_30d,volatility_7d,ma_7d,std_7d,pct_vs_ma7,ma_30d,std_30d,pct_vs_ma30,ma_90d,std_90d,pct_vs_ma90,ma_200d,std_200d,pct_vs_ma200,lag_1d,lag_7d,lag_14d,lag_30d,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_mid,BB_lower,BB_width,BB_pos,year,month,quarter,day_of_week,week_of_year,unit
2010-02-17,4858.64990234375,4929.7001953125,4857.60009765625,4914.0,0.0,0.011996087113216314,0.011924704368882228,0.1864507371599158,0.0077223655457140826,4839.871512276785,36.20178241395645,1.5316209848790583,4896.136669921875,134.1541887386873,0.3648454134841349,,,,,,,4855.75,4757.2001953125,4931.85009765625,5274.85009765625,48.313640611752156,-49.93809539807626,-74.96386723846899,25.025771840392736,4954.991489664534,4824.922509765625,4694.853529866717,0.053915468957542685,0.842424036471895,2010,2,1,2,7,INR/point
2010-02-18,4915.10009765625,4922.0498046875,4873.7001953125,4887.75,0.0,-0.005341880341880323,-0.005356199200524958,0.18549936235220804,0.007089170349608287,4848.571498325893,39.69966067622439,0.8080421560790507,4884.87333984375,118.8462542147928,0.05888914524736062,,,,,,,4914.0,4826.85009765625,4845.35009765625,5225.64990234375,54.52025015850937,-42.24673316414555,-68.4204404236043,26.17370725945875,4955.827380896372,4825.20751953125,4694.587658166128,0.054140619169809896,0.7394064723939086,2010,2,1,3,7,INR/point
2010-02-19,4887.2998046875,4887.2998046875,4805.5498046875,4844.89990234375,0.0,-0.008766834976471793,-0.008805489760123469,0.18642343966790387,0.008157053987816599,4851.150041852678,38.62533173495592,-0.12883830545347308,4872.313330078125,100.5195918228863,-0.5626367985232813,,,,,,,4887.75,4826.85009765625,4718.64990234375,5221.7001953125,66.38974322566577,-39.1575342678143,-62.567859192446306,23.410324924632008,4951.601498328892,4823.350024414062,4695.098550499232,0.05317941814948832,0.5840141530982117,2010,2,1,4,7,INR/point
2010-02-20,4887.2998046875,4887.2998046875,4805.5498046875,4844.89990234375,0.0,0.0,0.0,0.1744304349378354,0.008157053987816599,4853.728585379465,37.312938459081366,-0.181894864544109,4864.004996744791,91.44258439970224,-0.39278525441127676,,,,,,,4844.89990234375,4826.85009765625,4718.64990234375,5094.14990234375,66.38974322566577,-36.29098203544254,-57.312483761045556,21.021501725603017,4947.215549789692,4821.492529296875,4695.769508804057,0.05215107966211106,0.5930910383576871,2010,2,1,5,7,INR/point
2010-02-21,4887.2998046875,4887.2998046875,4805.5498046875,4844.89990234375,0.0,0.0,0.0,0.1719760340506349,0.008157053987816599,4856.30712890625,35.73626214721908,-0.2348950809680187,4857.634993489583,85.51185766784678,-0.26216648971982304,,,,,,,4844.89990234375,4826.85009765625,4718.64990234375,5036.0,66.38974322566577,-33.63153533446257,-52.57629407572897,18.944758741266398,4939.5926721620535,4818.752514648438,4697.912357134822,0.05015412480565294,0.6081899768781662,2010,2,1,6,7,INR/point
2010-02-22,4849.35009765625,4912.0498046875,4845.89990234375,4856.39990234375,0.0,0.0023736300505272645,0.002370817440569972,0.17226110298430677,0.007764018750907037,4864.085658482143,26.72164015107903,-0.15801029583001808,4851.648323567709,78.60163630227318,0.09793741135274868,,,,,,,4844.89990234375,4801.9501953125,4760.39990234375,5036.0,63.52495893147541,-30.247278969484796,-48.110491054480136,17.86321208499534,4941.995099096868,4820.0675048828125,4698.139910668757,0.050591654200087835,0.648991693367227,2010,2,1,0,8,INR/point
2010-02-23,4856.60009765625,4884.10009765625,4833.14990234375,4870.0498046875,0.0,0.002810703940827164,0.0028067612985113975,0.1726167515593663,0.0066015838056698506,4866.128487723215,26.524052269129985,0.08058391746495061,4846.116650390625,70.6139068339634,0.49386253001040875,,,,,,,4856.39990234375,4855.75,4792.64990234375,5036.0,61.50759138776405,-26.16221662796943,-43.72083616917799,17.558619541208564,4929.767024120321,4816.977490234375,4704.187956348429,0.04683000247130417,0.7352714503903206,2010,2,1,1,8,INR/point
2010-02-24,4869.5498046875,4880.5498046875,4834.64990234375,4858.60009765625,0.0,-0.0023510451618440342,-0.002353813207905825,0.17213487860567203,0.004208968464356421,4858.214215959822,16.06080726060313,0.007942871171896319,4841.139990234375,63.74582955015791,0.3606610727451834,,,,,,,4870.0498046875,4914.0,4757.2001953125,5007.89990234375,66.23440991011415,-23.576891233228707,-39.69204718198814,16.11515594875943,4931.283647064488,4817.639990234375,4703.996333404261,0.04717814409564655,0.6802129065699932,2010,2,1,2,8,INR/point
2010-02-25,4859.0,4880.14990234375,4835.60009765625,4859.75,0.0,0.00023667359334722526,0.00023664559057058937,0.17214760865298678,0.0039016804671914607,4854.214215959822,9.709902788078143,0.11404078587998312,4836.20166015625,55.59962906848204,0.486918071216021,,,,,,,4858.60009765625,4887.75,4826.85009765625,5007.89990234375,56.74733277121416,-21.19093877137402,-35.991825499865314,14.800886728491292,4929.650561703704,4824.694995117187,4719.739428530671,0.0435076483353813,0.6669992646519103,2010,2,1,3,8,INR/point
2010-02-26,4858.5,4992.0,4858.4501953125,4922.2998046875,0.0,0.012870992270692883,0.012788865005232845,0.15143938657806646,0.004974569341737706,4865.271344866072,26.641957916143436,1.172153735713137,4838.508317057292,57.71988157563056,1.7317628107575336,,,,,,,4859.75,4844.89990234375,4826.85009765625,4853.10009765625,65.57858346230412,-14.090382607996617,-31.611536921491577,17.52115431349496,4935.957875193764,4834.877490234375,4733.797105274985,0.04181300773951544,0.9324395602931072,2010,2,1,4,8,INR/point
