Date,Close,daily_return,log_return,volatility_30d,volatility_7d,ma_7d,std_7d,pct_vs_ma7,ma_30d,std_30d,pct_vs_ma30,ma_90d,std_90d,pct_vs_ma90,ma_200d,std_200d,pct_vs_ma200,lag_1d,lag_7d,lag_14d,lag_30d,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_mid,BB_lower,BB_width,BB_pos,year,month,quarter,day_of_week,week_of_year,unit
2022-11-16,1351414.8520800918,-0.011775849214723966,-0.011845733701667032,0.687958340859571,0.04918830877627923,1360915.191723168,35839.36988681301,-0.6980846198833957,1576114.5153129096,149333.90698559093,-14.256556934773718,1594953.0788502863,100482.2078556731,-15.269303529966397,1815699.122840213,348213.20544054,-25.57055103016534,1367518.5442555845,1292778.048952654,1666878.5339581668,1611232.7648083568,32.0634382864728,-80574.669202775,-51219.87278757595,-29354.796415199045,1910761.8143871399,1555076.2198033184,1199390.625219497,0.45745101115211906,0.21370590934175213,2022,11,4,2,46,INR/BTC
2022-11-17,1359954.2561734917,0.006318862102378198,0.006298981796566802,0.6881822560330886,0.02321438900971385,1350826.5308669445,18897.73347340661,0.6757140978486098,1568473.4383314168,154420.01108717988,-13.294403147799127,1591559.9761272906,103198.23043945547,-14.552120148017309,1807767.3476137181,340307.84355044964,-24.771610795567632,1351414.8520800918,1430574.8821670562,1675173.53640306,1589186.5656182766,32.08231415026155,-80617.91907186597,-57099.48204443396,-23518.43702743201,1897383.0072296497,1538177.3218807639,1178971.636531878,0.4670536748125723,0.2519205945554987,2022,11,4,3,46,INR/BTC
2022-11-18,1361284.6673069,0.0009782763849364162,0.0009777981844431756,0.688191147259287,0.017480078240917563,1349443.0061082435,17478.49550363343,0.8775221439553468,1561352.1458201811,158971.35449756045,-12.813731934136182,1587925.9522353087,105484.9330347599,-14.272786751130798,1799831.8524569985,331979.1644101796,-24.36600866638881,1359954.2561734917,1370969.3406178055,1748491.097983092,1574923.4426439705,26.028659946976163,-79626.95190940774,-61604.97601742872,-18021.97589197902,1877647.6129986001,1520425.195404896,1163202.777811192,0.469898050457621,0.27725288187400543,2022,11,4,4,46,INR/BTC
2022-11-19,1362407.2269973755,0.0008246325823211276,0.0008242927596795972,0.6879240969153494,0.01652631040051197,1350923.0081221971,18161.05319515567,0.8501016568769232,1554052.2763990264,162996.0062680945,-12.331956415631101,1583978.1903899044,107207.798951347,-13.988258470780341,1792199.7911047486,324274.36964414647,-23.981286363304406,1361284.6673069,1352047.2128996998,1759691.2522393763,1581403.3096320182,25.09400086476198,-77853.57456283504,-64854.69572650999,-12998.87883632505,1856714.2393994178,1503483.0224467881,1150251.8054941585,0.46988387853928204,0.3003067273236894,2022,11,4,5,46,INR/BTC
2022-11-20,1328190.0153484344,-0.025115259939095247,-0.02543603029442077,0.6901313920907789,0.01613218725152137,1352640.681722792,14531.864480888647,-1.807624648936038,1545392.839479067,167956.97370050522,-14.054861558945031,1579734.1260302756,109688.43997219684,-15.923192804218772,1783662.6048394232,313676.8170519995,-25.535804151256137,1362407.2269973755,1316166.30014427,1730239.5749108344,1587973.122947216,24.944952524185382,-78306.5342711301,-67545.06343543401,-10761.470835696091,1836211.197833601,1485614.725972689,1135018.254111777,0.47198841763144606,0.2754901671019837,2022,11,4,6,46,INR/BTC
2022-11-21,1286977.7875148058,-0.031028864362315778,-0.031520455318643274,0.6938677412421799,0.018570016915576804,1345392.4785252404,28833.260109235056,-4.341832732294314,1535261.0418913255,174168.14662235894,-16.172054627964343,1574925.597044663,112919.89983084524,-18.283264305957648,1776198.6473410106,307556.10770900786,-27.54313885772709,1328190.0153484344,1337715.2098976672,1688915.8434649408,1590931.7151470482,24.948419713964,-81056.62020286289,-70247.3747889198,-10809.245413943092,1812025.017176646,1465227.309851364,1118429.602526082,0.47337052072891267,0.24300648682004158,2022,11,4,0,47,INR/BTC
2022-11-22,1323152.6156590283,0.028108354701348093,0.027720564884405312,0.6973212257744037,0.020084895723863443,1339054.4887257325,28023.797160848717,-1.1875448833928148,1525344.425862513,177574.66622696753,-13.255485566097928,1570644.086293756,115083.32003678042,-15.757323558816728,1769021.2249876747,301197.9720958284,-25.204254365673478,1286977.7875148058,1367518.5442555845,1517158.013711974,1620651.096523404,35.44896855302096,-79401.78248883667,-72078.25632890318,-7323.526159933492,1786735.3222438714,1448041.0139364072,1109346.705628943,0.4677965679808272,0.31563257011687595,2022,11,4,1,47,INR/BTC
2022-11-23,1357343.8642283678,0.025840744419576733,0.025512514836767683,0.7026872304257913,0.022686036080174846,1339901.4904612005,28544.409944038045,1.3017653828538978,1517362.266547904,179621.7969979367,-10.545827179661464,1566573.651317999,116083.85632656587,-13.355885751914744,1762221.0270724436,294967.5245466349,-22.975390522759415,1323152.6156590283,1351414.8520800918,1292778.048952654,1596808.64366664,56.775728608393436,-74472.88658782793,-72557.18238068814,-1915.7042071397882,1755447.2484099572,1432149.5303276726,1108851.812245388,0.4514859813672037,0.38430839143710577,2022,11,4,2,47,INR/BTC
2022-11-24,1355470.5587548316,-0.0013801259378007913,-0.0013810791887747629,0.6891658133475744,0.02256281410135759,1339260.9622585347,28065.728135012523,1.210338907285171,1507105.8433820049,179794.0276950933,-10.061356028379386,1563651.890395834,118056.51491912967,-13.313790167727296,1755963.592130761,290193.11992673593,-22.807593230902587,1357343.8642283678,1359954.2561734917,1430574.8821670562,1663163.253731802,38.97229781383147,-69911.95961953816,-72028.13782845814,2116.178208919984,1700709.3687879355,1412498.5033662594,1124287.6379445833,0.4080866135218032,0.4010655886828005,2022,11,4,3,47,INR/BTC
2022-11-25,1349097.6524929851,-0.004701619095069609,-0.004712706472193469,0.680945969649648,0.022613222131047613,1337519.960142261,26822.285033840806,0.8656089401082723,1494994.9246127899,177711.621555381,-9.75904798858048,1560853.0631650365,120129.02913672602,-13.566646064855206,1751051.192051164,288712.0883056249,-22.954985061706537,1355470.5587548316,1361284.6673069,1370969.3406178055,1712425.2155694366,46.193488517966294,-66050.24628783995,-70832.55952033451,4782.313232494562,1630211.7983402766,1391968.8233789399,1153725.8484176032,0.34231079167852757,0.41002636931285696,2022,11,4,4,47,INR/BTC
2022-11-26,1344397.522833109,-0.0034839061881034583,-0.0034899891216231276,0.6780699815224811,0.02261186591471603,1334947.1452616516,24826.729643669627,0.7079214787642406,1484326.6854458565,176792.6122469027,-9.427113585222395,1558379.169450795,122273.47111824476,-13.73103868509085,1745772.6661801569,286427.5373850312,-22.991260610425186,1349097.6524929851,1362407.2269973755,1352047.2128996998,1664444.6978411078,48.599322560421925,-62646.91716849012,-69195.43104996564,6548.513881475519,1550381.8992374244,1372676.7207750536,1194971.5423126828,0.25891774191673217,0.42043226261992905,2022,11,4,5,47,INR/BTC
2022-11-27,1342792.6432984024,-0.0011937537130568554,-0.0011944668045808346,0.6736872342046468,0.020153825854640494,1337033.23496879,24777.777919324613,0.43076029667630383,1472488.6997349837,173862.17593726574,-8.807949185615062,1555265.650829053,124162.33434156692,-13.661525117422176,1741306.8658414618,285708.4454830756,-22.885927251569356,1344397.522833109,1328190.0153484344,1316166.30014427,1697932.2146245835,55.575145577833645,-59394.59081657138,-67235.26300328679,7840.672186715412,1452591.6127764513,1355370.5607667267,1258149.5087570022,0.14346047468336195,0.43531278869998946,2022,11,4,6,47,INR/BTC
2022-11-28,1324463.8543331474,-0.013649753784942265,-0.013743768169886825,0.6718255780093607,0.016109281887292687,1342388.3873714102,13755.772004716635,-1.3352717594169272,1459426.5883186136,169578.50485750134,-9.247654871147374,1552391.8128544122,126482.2359936425,-14.682373137627502,1736685.032187527,284932.67607889575,-23.736093201376082,1342792.6432984024,1286977.7875148058,1337715.2098976672,1716327.1968242526,47.18744356566667,-57631.73606153787,-65314.55761493701,7682.821553399139,1406986.2863516468,1345735.8527977853,1284485.4192439239,0.0910289094646944,0.32635226209515406,2022,11,4,0,48,INR/BTC
2022-11-29,1342737.7329842448,0.013797189399553655,0.013702874710143967,0.6746914606902615,0.013221599166561253,1345186.2612750125,10882.999134718471,-0.18202150596207334,1447476.156546104,164505.76135573338,-7.235934290743747,1549559.885235032,128298.65707427532,-13.347154519259973,1732059.7465169877,283773.7218199081,-22.477400927747066,1324463.8543331474,1323152.6156590283,1367518.5442555845,1701250.6861595362,44.469691561192384,-54136.06482475414,-63078.85905690044,8942.794232146298,1404241.0459017826,1348233.836999365,1292226.6280969472,0.08308233685495918,0.4509339590132363,2022,11,4,1,48,INR/BTC
2022-11-30,1401485.484907776,0.043752216445845926,0.042822120721603706,0.6904269718642475,0.01902459245774955,1351492.2070863566,23993.327631688,3.699116987821807,1438007.1412153493,158391.2124005621,-2.5397409554382815,1547342.0591118492,129120.47095253755,-9.426265727423756,1727411.3916845457,281516.1620896598,-18.867879900857417,1342737.7329842448,1357343.8642283678,1351414.8520800918,1685555.9448304176,59.38743874392597,-46093.92549918895,-59681.87234535814,13587.946846169194,1394711.810861522,1346779.367136401,1298846.9234112797,0.07118084059609245,1.0706585510755282,2022,11,4,2,48,INR/BTC
2022-12-01,1379517.7870073318,-0.015674581104840768,-0.015798726343159746,0.6903155874025777,0.020500233033045878,1354927.5254081425,26271.259927768344,1.814876525722812,1427500.19711755,151059.47769346033,-3.3612892108250283,1544981.9654445963,130232.82871428551,-10.709780575959611,1722187.0456656802,278192.43159359903,-19.897331101215883,1401485.484907776,1355470.5587548316,1359954.2561734917,1694726.1099413035,53.492018190306325,-41020.22613931773,-55949.54310415006,14929.316964832331,1396188.44346241,1347206.7894558772,1298225.1354493443,0.07271586573033237,0.8298275467294799,2022,12,4,3,48,INR/BTC
2022-12-02,1386953.2691873312,0.005389913961261428,0.00537544035935969,0.6903165191113528,0.020246879849838674,1360335.470650192,28658.955358289943,1.9567084084352335,1418169.3549585224,144255.53655587914,-2.2011535972094216,1542826.4404135211,131232.4315439375,-10.103091776441913,1717551.977265854,275997.01612528967,-19.248250559776245,1379517.7870073318,1349097.6524929851,1361284.6673069,1666878.5339581668,54.48402315118247,-35984.494716064306,-51956.533426532915,15972.038710468609,1401048.4460216921,1348952.0922702588,1296855.7385188255,0.07723973897954554,0.8647201212812903,2022,12,4,4,48,INR/BTC
2022-12-03,1372309.674196899,-0.010558102652595158,-0.010614234867796273,0.689802287660833,0.0208578190931478,1364322.920845019,28006.18797675261,0.5854005111145725,1408073.8928849837,136011.47839352177,-2.539939052119482,1540371.250885699,132340.29453297195,-10.91045918911861,1712577.046052841,273179.412596576,-19.868733651440245,1386953.2691873312,1344397.522833109,1362407.2269973755,1675173.53640306,51.651817793632055,-32797.19140972034,-48124.6650231704,15327.473613450056,1402448.6295209473,1351759.2609728903,1301069.8924248333,0.07499762718337111,0.7027093038703442,2022,12,4,5,48,INR/BTC
