Date,Close,daily_return,log_return,volatility_30d,volatility_7d,ma_7d,std_7d,pct_vs_ma7,ma_30d,std_30d,pct_vs_ma30,ma_90d,std_90d,pct_vs_ma90,ma_200d,std_200d,pct_vs_ma200,lag_1d,lag_7d,lag_14d,lag_30d,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_mid,BB_lower,BB_width,BB_pos,year,month,quarter,day_of_week,week_of_year,unit
2017-11-30,28800.76090857945,0.044929016035872626,0.04394895587121559,,0.07605013246832858,29865.44319653235,1234.0188843599512,-3.564930481515568,,,,,,,,,,27562.40899294801,26566.44947850774,21646.86430014437,,72.51286511188192,2293.2315565166755,1901.0747542329095,392.15680228376596,32972.34983348217,25079.952146239182,17187.554458996194,0.6293790068835102,0.7357210641041141,2017,11,4,3,48,INR/ETH
2017-12-01,30091.549357142067,0.04481785924545156,0.043842572852448365,,0.048664446108863856,29782.883432706287,1189.801904162987,1.0363869741934257,,,,,,,,,,28800.76090857945,30669.467703924514,21675.41324762511,,74.53583454301354,2321.492211133449,1985.1582456130175,336.33396552043155,33440.998846644026,25562.319817996806,17683.640789349585,0.6164291100919833,0.7874358456967213,2017,12,4,4,48,INR/ETH
2017-12-02,29892.181499699363,-0.006625376948076078,-0.006647422183877487,,0.04820454027341817,29751.505938097467,1182.555410427332,0.4728350957917667,,,,,,,,,,30091.549357142067,30111.823961961083,22667.77816991089,,72.08256909538933,2301.274009329125,2048.381398356239,252.8926109728859,33704.43114733671,26056.720544176525,18409.009941016342,0.587004845079738,0.7507587665475467,2017,12,4,5,48,INR/ETH
2017-12-03,30047.237515359884,0.005187176307693608,0.005173769251859075,,0.04803951301478699,29695.6531096008,1153.5947734656036,1.1839591621758752,,,,,,,,,,29892.181499699363,30438.20731483656,23109.50984400697,,71.58457687816102,2271.5773338447652,2093.0205854539445,178.55674839082076,33924.83243519983,26527.216910931224,19129.601386662616,0.5577377792104704,0.7379158928225013,2017,12,4,6,48,INR/ETH
2017-12-04,30332.39174447488,0.009490197858263327,0.00944544882590533,,0.04754619450912472,29599.63574387489,1049.799278097075,2.4755574931411846,,,,,,,,,,30047.237515359884,31004.51330455625,23802.61091539916,,70.8444938445223,2245.171132481919,2123.4506948595395,121.72043762237945,34213.82215839796,26939.134832959728,19664.447507521498,0.5400832187481933,0.7332235572275957,2017,12,4,0,49,INR/ETH
2017-12-05,29812.782377997413,-0.01713051086952666,-0.017278935573650265,,0.04754199080433708,29505.616056600153,986.3136872593981,1.041043578985195,,,,,,,,,,30332.39174447488,30470.92018892057,23435.07563842926,,70.1632731840271,2157.446197535828,2130.2497953947973,27.19640214103083,34299.18609123979,27339.473251193565,20379.760411147345,0.5091329138715122,0.6776875845057669,2017,12,4,1,49,INR/ETH
2017-12-06,27582.597192641348,-0.07480634169194478,-0.07775220304949532,,0.04097287188441747,29508.500085127773,979.6919391337067,-6.526603815614053,,,,,,,,,,29812.782377997413,27562.40899294801,24651.518559447723,,58.708467903492114,1886.223043432441,2081.444445002326,-195.22140156988507,34059.41340412161,27636.259895818413,21213.106387515218,0.4648352224589602,0.49582271363215963,2017,12,4,2,49,INR/ETH
2017-12-07,28025.917348595336,0.016072458762957265,0.015944664293381358,,0.03706242107542465,29397.808147987183,1108.3144610645295,-4.666643147291164,,,,,,,,,,27582.597192641348,28800.76090857945,26566.44947850774,,54.75171070068148,1687.595421821472,2002.6746403661555,-315.0792185446835,33731.67352883521,27953.785100866924,22175.89667289864,0.4133886274878098,0.5062420942033723,2017,12,4,3,49,INR/ETH
2017-12-08,29433.334017178044,0.05021839788781257,0.04899814052924242,,0.038267261017119344,29303.77738513518,1066.7910135224035,0.4421158075974949,25902.921463081115,4077.9005210107885,13.629399136034717,,,,,,,28025.917348595336,30091.549357142067,30669.467703924514,,45.1186059826848,1625.0161884596855,1927.1429499848616,-302.1267615251761,33534.250728661995,28292.062893230282,23049.875057798567,0.3705765716140878,0.6088544668538347,2017,12,4,4,49,INR/ETH
2017-12-09,30560.95476297522,0.03831100972587986,0.03759536387875813,0.7721812943905332,0.04112492718091019,29399.31642274602,1154.6023848462864,3.9512426871614297,26227.328591206166,4047.3135986404322,16.5233228260315,,,,,,,29433.334017178044,29892.181499699363,30111.823961961083,20828.740919223757,51.69718182374188,1647.4208236562445,1871.1985247191383,-223.7777010628938,33389.60455314406,28664.635139178696,23939.665725213326,0.3296723918531445,0.7006700422431268,2017,12,4,5,49,INR/ETH
2017-12-10,28509.732480187435,-0.06711905104721572,-0.06947768654136824,0.7726673419463816,0.04906390039772207,29179.67284629281,1157.0432681639043,-2.295914589702093,26529.59070736782,3857.2265701279575,7.463898688303876,,,,,,,30560.95476297522,30047.237515359884,30438.20731483656,19441.868995337747,43.55305577653422,1482.5700187171315,1793.4728235187372,-310.9028048016057,33037.6796499833,28899.991217418108,24762.302784852916,0.28634530726579566,0.45284097104078197,2017,12,4,6,49,INR/ETH
